,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
28,75, State-gov,135436, Assoc-acdm,10, Never-married, Adm-clerical, Other-relative, White, Female,0,0,30, United-States, >50K
29,50, Private,57233, Bachelors,9, Never-married, ?, Not-in-family, White, Male,0,0,45, United-States, <=50K
30,49, Never-worked,29927, Bachelors,3, Divorced, Craft-repair, Wife, White, Female,9386,1735,55, Canada, <=50K
31,63, Private,77146, Some-college,9, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,35, United-States, <=50K
32,37, Never-worked,194243, Some-college,11, Divorced, Transport-moving, Not-in-family, White, Female,6360,0,68, United-States, >50K
33,18, Private,33109, HS-grad,13, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
34,19, Federal-gov,140319, 11th,15, Divorced, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
35,35, Private,264052, Bachelors,13, Divorced, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
36,32, Private,248406, 11th,13, Never-married, Adm-clerical, Wife, White, Female,0,0,50, United-States, <=50K
37,39, Private,109912, Some-college,15, Separated, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
38,18, Private,116812, Bachelors,5, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, <=50K
39,71, Private,147206, 9th,7, Married-civ-spouse, Prof-specialty, Other-relative, Asian-Pac-Islander, Female,0,0,35, United-States, >50K
40,32, Private,177287, 11th,5, Divorced, Prof-specialty, Husband, White, Female,0,1974,85, Portugal, <=50K
41,23, Private,21306, Bachelors,9, Never-married, Prof-specialty, Wife, White, Female,0,0,60, United-States, <=50K
42,55, Private,167319, 9th,13, Divorced, Adm-clerical, Wife, White, Female,0,0,29, ?, <=50K
43,29, Private,321171, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Columbia, >50K
44,54, Private,72443, HS-grad,4, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
45,23, Self-emp-inc,382802, HS-grad,14, Married-AF-spouse, Handlers-cleaners, Unmarried, Other, Female,0,0,40, United-States, <=50K
46,42, Private,200677, Masters,14, Married-civ-spouse, Farming-fishing, Not-in-family, White, Female,0,0,62, ?, >50K
47,44, State-gov,271379, Masters,13, Never-married, Tech-support, Not-in-family, Other, Female,0,0,50, United-States, >50K
48,57, Private,204991, Bachelors,13, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
49,29, Private,179557, Bachelors,9, Never-married, Transport-moving, Wife, White, Female,0,0,25, United-States, <=50K
50,42, Private,189551, Bachelors,10, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
51,47, Private,143807, 11th,9, Never-married, Prof-specialty, Own-child, White, Male,0,0,28, El-Salvador, >50K
52,41, Private,182556, 5th-6th,11, Married-civ-spouse, Sales, Unmarried, White, Male,0,0,35, Nicaragua, <=50K
53,31, Local-gov,48087, HS-grad,16, Never-married, Exec-managerial, Other-relative, White, Female,0,0,40, United-States, >50K
54,42, Private,112627, HS-grad,10, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
55,24, Private,32950, HS-grad,10, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,47, United-States, <=50K
56,33, Private,81232, 11th,9, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, United-States, >50K
57,20, Private,293073, Bachelors,6, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
58,43, Local-gov,40388, 10th,2, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, Cambodia, <=50K
59,31, Private,238680, HS-grad,10, Divorced, Prof-specialty, Own-child, White, Female,0,155,40, United-States, >50K
60,32, Without-pay,141483, 7th-8th,15, Separated, Other-service, Wife, White, Female,0,0,80, United-States, >50K
61,49, Private,192702, 11th,13, Never-married, Transport-moving, Unmarried, Black, Male,0,0,40, United-States, >50K
62,35, Private,182926, Some-college,10, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
63,84, Private,119992, Bachelors,10, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
64,26, Private,303440, Some-college,16, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
65,57, Private,430005, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, <=50K
66,27, Local-gov,388741, Some-college,3, Never-married, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
67,19, Private,308064, Some-college,13, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States, <=50K
68,38, Private,279580, Bachelors,9, Never-married, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
69,21, Private,182470, 10th,9, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,22, United-States, <=50K
70,41, Private,36012, Masters,13, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,40, France, <=50K
71,25, Private,184016, Masters,12, Divorced, Craft-repair, Husband, White, Male,0,0,38, United-States, <=50K
72,62, Private,100295, 7th-8th,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,38, United-States, <=50K
73,37, Private,557644, 10th,15, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,20, China, <=50K
74,46, Private,77698, HS-grad,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
75,37, Private,144371, HS-grad,3, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,50, United-States, <=50K
76,33, Private,368925, Assoc-voc,2, Never-married, Machine-op-inspct, Wife, White, Female,0,3683,45, Hungary, <=50K
77,44, Private,89636, Some-college,13, Never-married, ?, Husband, White, Male,0,0,38, Portugal, <=50K
78,34, Self-emp-not-inc,221672, 9th,7, Divorced, Prof-specialty, Own-child, White, Male,6097,2001,85, ?, <=50K
79,46, Private,79649, Bachelors,5, Never-married, Tech-support, Not-in-family, White, Female,0,0,75, United-States, >50K
80,81, Self-emp-inc,25386, HS-grad,9, Divorced, Tech-support, Not-in-family, White, Female,0,0,15, United-States, <=50K
81,33, Local-gov,90934, HS-grad,14, Never-married, Craft-repair, Not-in-family, Black, Female,3464,0,35, United-States, <=50K
82,30, Private,388849, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,35, United-States, <=50K
83,31, Private,302406, Some-college,9, Never-married, Exec-managerial, Own-child, White, Female,0,0,45, United-States, <=50K
84,59, Private,197093, HS-grad,13, Married-civ-spouse, Transport-moving, Own-child, White, Female,0,0,40, United-States, <=50K
85,68, Private,332884, HS-grad,9, Married-civ-spouse, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, >50K
86,43, Self-emp-inc,148900, HS-grad,14, Divorced, Farming-fishing, Other-relative, White, Female,4386,0,95, Greece, >50K
87,42, Private,253814, HS-grad,13, Never-married, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
88,21, Private,102332, HS-grad,13, Married-civ-spouse, Protective-serv, Not-in-family, White, Female,0,0,40, United-States, >50K
89,43, Self-emp-not-inc,119432, 7th-8th,1, Never-married, Priv-house-serv, Own-child, White, Male,0,0,40, United-States, <=50K
90,58, Private,97698, Bachelors,10, Separated, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,48, Thailand, <=50K
91,47, Private,37232, Doctorate,13, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
92,38, Private,153486, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
93,31, Private,267085, Some-college,15, Divorced, Prof-specialty, Unmarried, Black, Male,2176,0,40, United-States, <=50K
94,43, Private,83439, HS-grad,10, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,40, United-States, <=50K
95,32, Private,199172, HS-grad,13, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, <=50K
96,47, Private,187652, Some-college,9, Never-married, Other-service, Other-relative, White, Male,0,0,50, United-States, >50K
97,24, Private,167149, Assoc-voc,15, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,60, ?, <=50K
98,33, Private,189238, HS-grad,7, Never-married, Prof-specialty, Wife, Black, Female,0,1668,27, Taiwan, >50K
99,41, Private,90915, Some-college,2, Never-married, Prof-specialty, Wife, White, Male,0,0,25, United-States, >50K
100,70, Private,119558, HS-grad,3, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,1741,40, United-States, <=50K
101,21, Private,218957, Some-college,9, Married-civ-spouse, ?, Not-in-family, White, Female,0,0,40, United-States, <=50K
102,18, Private,245378, Prof-school,7, Divorced, Machine-op-inspct, Husband, White, Female,0,0,15, United-States, <=50K
103,47, Self-emp-not-inc,224943, 11th,8, Married-civ-spouse, Exec-managerial, Wife, White, Female,991,0,13, Germany, >50K
104,57, Private,48779, 7th-8th,13, Married-civ-spouse, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,40, Poland, <=50K
105,20, Private,250206, Some-college,13, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
106,46, Local-gov,189710, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,47, United-States, >50K
107,23, Private,127306, Bachelors,15, Married-civ-spouse, Exec-managerial, Other-relative, White, Female,0,0,40, United-States, <=50K
108,22, ?,283400, Assoc-voc,8, Divorced, Sales, Not-in-family, White, Female,0,0,53, United-States, >50K
109,37, Private,123983, 10th,9, Married-civ-spouse, Tech-support, Not-in-family, White, Female,0,0,35, United-States, <=50K
110,34, Private,345006, Some-college,9, Divorced, ?, Husband, White, Female,15024,0,4, United-States, <=50K
111,22, Private,266150, 11th,13, Divorced, Adm-clerical, Husband, Black, Male,0,0,40, United-States, >50K
112,31, Private,232991, Some-college,3, Widowed, Machine-op-inspct, Own-child, White, Male,1424,0,20, Mexico, >50K
113,83, Private,229272, HS-grad,4, Never-married, Machine-op-inspct, Husband, White, Female,0,0,97, United-States, <=50K
114,33, Never-worked,144371, HS-grad,13, Never-married, Exec-managerial, Husband, White, Female,0,0,20, United-States, <=50K
115,43, Private,45781, Prof-school,13, Married-civ-spouse, Adm-clerical, Own-child, White, Female,0,0,30, United-States, >50K
116,46, Self-emp-not-inc,383603, Some-college,9, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
117,66, Private,191027, Prof-school,9, Widowed, Machine-op-inspct, Husband, White, Female,0,0,47, United-States, >50K
118,42, Federal-gov,120590, HS-grad,10, Never-married, Other-service, Other-relative, White, Female,5013,2472,43, India, <=50K
119,22, Private,87054, HS-grad,10, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,60, United-States, <=50K
120,44, Private,69884, HS-grad,13, Divorced, Adm-clerical, Own-child, White, Male,0,0,66, United-States, >50K
121,19, Private,202450, Bachelors,13, Divorced, Sales, Unmarried, White, Female,0,0,70, United-States, <=50K
122,57, Local-gov,215095, Masters,11, Never-married, Sales, Unmarried, Asian-Pac-Islander, Female,2463,0,12, United-States, <=50K
123,34, Private,276709, Masters,10, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,45, Japan, >50K
124,30, Private,370615, Some-college,9, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States, <=50K
125,41, ?,86143, Some-college,13, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,45, United-States, <=50K
126,30, State-gov,336543, Some-college,16, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, >50K
127,39, Local-gov,157932, Bachelors,14, Married-spouse-absent, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, >50K
128,44, ?,445168, Masters,9, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, United-States, >50K
129,40, Private,275361, HS-grad,9, Divorced, Adm-clerical, Own-child, White, Female,0,0,35, United-States, >50K
130,46, Private,173800, HS-grad,10, Never-married, Craft-repair, Own-child, Black, Female,0,0,55, United-States, <=50K
131,36, Private,159816, Assoc-acdm,10, Divorced, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
132,17, ?,101626, Masters,3, Never-married, Transport-moving, Wife, White, Female,14344,1672,50, Vietnam, <=50K
133,46, State-gov,123727, HS-grad,9, Separated, Sales, Not-in-family, White, Female,0,1564,55, United-States, <=50K
134,22, Private,206535, Some-college,13, Never-married, Sales, Own-child, Black, Female,0,0,40, Honduras, <=50K
135,68, Private,134447, HS-grad,10, Divorced, Machine-op-inspct, Other-relative, White, Female,0,0,40, United-States, >50K
136,41, Private,493363, Bachelors,9, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
137,33, Private,135138, 7th-8th,9, Never-married, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
138,21, Private,208999, Some-college,9, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
139,43, Private,235379, Assoc-voc,15, Divorced, ?, Unmarried, Black, Male,0,0,48, United-States, <=50K
140,51, State-gov,309620, 9th,4, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,30, United-States, <=50K
141,40, Private,140915, HS-grad,10, Divorced, Other-service, Husband, White, Female,0,0,40, United-States, >50K
142,61, Private,220821, HS-grad,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, >50K
143,31, Private,210844, 7th-8th,11, Separated, Machine-op-inspct, Husband, White, Female,0,0,45, United-States, >50K
144,53, Private,141558, 9th,10, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,50, United-States, >50K
145,54, Private,216472, HS-grad,9, Never-married, Other-service, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, >50K
146,24, Self-emp-not-inc,169583, HS-grad,10, Never-married, ?, Not-in-family, White, Female,0,0,40, United-States, <=50K
147,58, Private,695136, Bachelors,9, Never-married, Adm-clerical, Husband, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
148,31, Private,266189, HS-grad,10, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, >50K
149,43, Never-worked,242460, Prof-school,8, Never-married, Farming-fishing, Own-child, White, Male,0,0,35, United-States, >50K
150,76, Private,110663, Doctorate,10, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
151,67, State-gov,97215, Bachelors,10, Never-married, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
152,28, State-gov,113700, Bachelors,4, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,2246,40, United-States, <=50K
153,72, ?,116608, Masters,16, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,35, United-States, <=50K
154,69, Private,386136, HS-grad,13, Married-civ-spouse, Tech-support, Not-in-family, White, Female,0,0,35, United-States, <=50K
155,25, Private,46281, Some-college,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
156,37, Private,48087, HS-grad,10, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, >50K
157,68, Private,224947, Bachelors,7, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,70, United-States, >50K
158,41, Private,243872, 10th,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,25, United-States, >50K
159,32, Private,202046, HS-grad,14, Divorced, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,2267,40, United-States, <=50K
160,29, Private,109814, Bachelors,13, Never-married, ?, Not-in-family, White, Male,0,0,40, United-States, >50K
161,24, ?,262642, Bachelors,6, Never-married, ?, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
162,23, Self-emp-not-inc,450246, Some-college,10, Never-married, Tech-support, Unmarried, White, Female,0,0,81, United-States, <=50K
163,30, Local-gov,30529, Assoc-acdm,9, Never-married, Craft-repair, Wife, White, Male,0,0,40, United-States, >50K
164,18, Private,188798, HS-grad,4, Married-spouse-absent, ?, Not-in-family, White, Male,0,0,40, United-States, >50K
165,24, Private,181091, 9th,13, Married-civ-spouse, Exec-managerial, Other-relative, White, Female,0,0,40, United-States, <=50K
166,18, Private,160369, Some-college,11, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,39, Vietnam, >50K
167,39, Private,77143, HS-grad,3, Divorced, Exec-managerial, Husband, White, Female,0,0,40, United-States, >50K
168,85, ?,215908, HS-grad,13, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Female,0,2231,31, Thailand, <=50K
169,67, Private,91299, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
170,59, State-gov,569761, Some-college,14, Separated, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
171,46, Private,61885, Bachelors,10, Never-married, Craft-repair, Husband, White, Male,0,0,48, United-States, <=50K
172,66, Private,334679, Some-college,14, Never-married, Protective-serv, Other-relative, Black, Female,3471,0,31, United-States, >50K
173,60, Local-gov,388023, Prof-school,4, Separated, Protective-serv, Husband, Asian-Pac-Islander, Female,5013,1408,40, United-States, >50K
174,21, Private,141165, Assoc-voc,9, Divorced, Other-service, Not-in-family, White, Male,0,0,40, Greece, >50K
175,51, Private,266525, HS-grad,10, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Female,0,0,50, United-States, >50K
176,26, State-gov,185660, 5th-6th,13, Never-married, ?, Not-in-family, White, Female,0,0,40, United-States, >50K
177,63, State-gov,51835, HS-grad,5, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,55, United-States, <=50K
178,50, Without-pay,178556, Bachelors,6, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,25, United-States, >50K
179,22, Private,119992, Doctorate,13, Divorced, Craft-repair, Wife, White, Female,0,0,28, United-States, >50K
180,51, ?,168071, 11th,8, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
181,61, State-gov,271346, HS-grad,10, Married-civ-spouse, Other-service, Other-relative, White, Male,6418,0,40, United-States, >50K
182,25, State-gov,233421, HS-grad,5, Married-AF-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
183,62, Private,61435, 7th-8th,5, Never-married, Other-service, Husband, Black, Male,0,0,40, United-States, <=50K
184,18, ?,180551, 10th,10, Never-married, ?, Not-in-family, White, Female,0,0,40, United-States, <=50K
185,42, Private,392668, 9th,12, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
186,28, State-gov,176684, HS-grad,7, Married-civ-spouse, Protective-serv, Other-relative, Black, Female,0,0,84, United-States, <=50K
187,46, Private,339773, 9th,2, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,62, United-States, <=50K
188,66, Private,199903, HS-grad,13, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
189,30, Self-emp-not-inc,108542, HS-grad,12, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,3103,0,35, United-States, <=50K
190,32, Private,220589, 10th,10, Never-married, Sales, Not-in-family, White, Female,0,0,52, United-States, >50K
191,32, Private,263024, 12th,14, Never-married, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
192,49, Private,38240, 9th,10, Divorced, Sales, Husband, White, Female,0,0,40, United-States, >50K
193,25, Private,195584, Assoc-voc,12, Never-married, Adm-clerical, Husband, White, Female,0,0,40, United-States, >50K
194,36, Private,193720, 10th,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, >50K
195,69, Private,125591, Assoc-voc,13, Widowed, Prof-specialty, Husband, White, Female,0,0,45, United-States, <=50K
196,43, Self-emp-not-inc,447066, Bachelors,10, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
197,25, Local-gov,121622, Assoc-voc,14, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, United-States, >50K
198,23, Private,112795, HS-grad,9, Separated, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
199,37, Private,375871, HS-grad,9, Married-civ-spouse, ?, Not-in-family, White, Female,0,0,40, United-States, >50K
200,38, Private,152568, Masters,14, Divorced, Handlers-cleaners, Not-in-family, White, Male,3137,0,60, El-Salvador, <=50K
201,33, Private,56331, HS-grad,10, Never-married, Other-service, Husband, White, Female,0,0,60, United-States, <=50K
202,52, Private,119234, Preschool,13, Divorced, Prof-specialty, Unmarried, White, Male,0,0,32, United-States, <=50K
203,34, Private,126094, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Female,0,0,47, United-States, >50K
204,53, Private,178934, HS-grad,13, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
205,62, Self-emp-not-inc,114537, Some-college,10, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,35, United-States, <=50K
206,20, Local-gov,201699, Bachelors,10, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
207,48, Private,196690, Some-college,3, Never-married, Craft-repair, Own-child, White, Male,0,0,60, United-States, <=50K
208,69, Private,83880, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,20, United-States, <=50K
209,47, Private,151793, 9th,13, Divorced, Other-service, Wife, White, Female,0,0,38, Poland, >50K
210,18, Private,171705, 7th-8th,13, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, >50K
211,30, Private,250818, Bachelors,9, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,1902,40, United-States, <=50K
212,18, Private,31873, HS-grad,10, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
213,47, ?,206215, Bachelors,14, Divorced, Craft-repair, Husband, White, Male,0,0,30, United-States, >50K
214,36, Private,243921, Masters,5, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
215,32, Private,225267, Masters,9, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, Italy, <=50K
216,35, State-gov,271665, Bachelors,10, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,60, United-States, <=50K
217,90, Private,317702, Some-college,5, Never-married, Prof-specialty, Not-in-family, White, Male,3908,419,60, Outlying-US(Guam-USVI-etc), <=50K
218,42, State-gov,47932, Masters,5, Divorced, Prof-specialty, Husband, White, Male,0,0,56, Mexico, <=50K
219,39, Private,329759, HS-grad,10, Never-married, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
220,32, Private,222434, HS-grad,13, Never-married, Transport-moving, Own-child, White, Female,0,0,35, ?, <=50K
221,19, ?,271352, Assoc-acdm,13, Separated, Sales, Unmarried, White, Female,0,0,10, ?, <=50K
222,33, Private,128363, 9th,4, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, South, >50K
223,21, Federal-gov,72594, HS-grad,3, Separated, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
224,52, Private,170114, 12th,4, Never-married, Transport-moving, Not-in-family, White, Female,0,0,20, El-Salvador, >50K
225,29, State-gov,376929, Bachelors,7, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, >50K
226,22, Federal-gov,241469, 9th,10, Never-married, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
227,25, Private,32604, Masters,13, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,35, United-States, <=50K
228,33, Self-emp-not-inc,329144, Assoc-voc,7, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,35, United-States, <=50K
229,53, Private,205934, HS-grad,10, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,50, United-States, <=50K
230,76, Private,111169, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
231,45, Private,154405, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,38, United-States, <=50K
232,88, State-gov,318921, Bachelors,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,12, United-States, <=50K
233,40, Private,160275, Assoc-voc,10, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,50, South, >50K
234,47, Private,94334, Assoc-acdm,9, Divorced, Farming-fishing, Unmarried, Asian-Pac-Islander, Male,2597,1719,44, United-States, >50K
235,41, Private,331552, Some-college,14, Never-married, Sales, Unmarried, White, Male,0,0,50, United-States, <=50K
236,47, ?,163942, Some-college,15, Divorced, Farming-fishing, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
237,90, Private,136419, Bachelors,8, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
